#footer
"Facebook"; "Facebook"
"Like us on Facebook!"; "Like us on Facebook!"
"Twitter"; "Twitter"
"Follow us on Twitter!"; "Follow us on Twitter!"
"Linkedin"; "Linkedin"
"Our Linkedin Profile"; "Our Linkedin Profile"
"Google+"; "Google+"
"Google Plus Profile"; "Google Plus Profile"
"YouTube"; "YouTube"
"Our YouTube Page"; "Our YouTube Page"
"Vimeo"; "Vimeo"
"Our Vimeo Page!"; "Our Vimeo Page!"
"Tumblr"; "Tumblr"
"Our Tumblr Page!"; "Our Tumblr Page!"
"Pinterest"; "Pinterest"
"Our Pinnterest Page"; "Our Pinnterest Page"
"Instagram"; "Instagram"
"Our Instagram Page"; "Our Instagram Page"
"Flickr"; "Flickr"
"Our Flickr Page"; "Our Flickr Page"
"Useful Links"; "Useful Links"
"More Info"; "More Info"
"Footer Description"; "Footer Description"
"Go To Top"; "Go To Top"

#header
"Search for..."; "Search for..."
"No new requests"; "No new requests"
"clear"; "clear"
"Login with a social network"; "Login with a social network"
"Login with email and password"; "Login with email and password"
"Forgot Password?"; "Forgot Password?"
"No account yet?"; "No account yet?"
"Register Now"; "Register Now"
"Create Your Account"; "Create Your Account"
"Already a member?"; "Already a member?"
"Login Now"; "Login Now"
"Logout"; "Logout"
"Compose"; "Compose"
"Friend Requests"; "Friend Requests"
"Menu"; "Menu"

#home
"Register for Free"; "Register for Free"
"Member Login"; "Member Login"
"Take the power to make it perfect"; "Take the power to make it perfect"
"Share your findings, discover new people, find your better half. Everything in the same place!"; "Share your findings, discover new people, find your better half. Everything in the same place!"
"Meet the network"; "Meet the network"
"Pellentesque in odio eget leo pretium lacinia a sit amet ipsum."; "Pellentesque in odio eget leo pretium lacinia a sit amet ipsum."
"Meet"; "Meet"
"Duis vitae libero et risus volutpat dignissim non faucibus lacus."; "Duis vitae libero et risus volutpat dignissim non faucibus lacus."
"Discover"; "Discover"
"Etiam metus tortor, viverra eu orci sit amet, placerat congue magna."; "Etiam metus tortor, viverra eu orci sit amet, placerat congue magna."
"Share It"; "Share It"
"Proin posuere tellus vel odio dapibus, a fringilla magna lacinia."; "Proin posuere tellus vel odio dapibus, a fringilla magna lacinia."
"Do it"; "Do it"
"Sed turpis metus, accumsan sit amet suscipit sed, blandit vitae dui."; "Sed turpis metus, accumsan sit amet suscipit sed, blandit vitae dui."
"Signup Today For Free"; "Signup Today For Free"
"Maecenas non lectus libero. Nam dictum massa sapien, ut tempus leo lacinia vitae."; "Maecenas non lectus libero. Nam dictum massa sapien, ut tempus leo lacinia vitae."
"Join Today"; "Join Today"

#other
"Women"; "Women"
"Men"; "Men"
